tag_name_verbose,addresses,tag_type_verbose,tag_subtype_verbose
Kusama-Wallet Com,DfcWKx1P9hXGYFg3Wef1Shd2eXzEq2zbCxNDj3ensKBbpgy,Scam,Phishing
Kraken.com,1zzzcWyDEtYfFXhx5eALRhZbwfjLNnjF4apqhw8LmHcha18,Exchange,Mandatory KYC and AML
Kucoin.com,1zzxdGR5QnjPdjTCAagKzxd4Uq3xh5GsFWHYsKrnwv1F9KH,Exchange,Mandatory KYC and AML
Kraken.com,1zzwQjkS13cgUZq5oz5FsiwgkBiviAggHN3cfC1S8xHoECS,Exchange,Mandatory KYC and AML
ChangeNow.io,1zzwE1khmqP1iaq11kAGdcYfwnr6iMoNgikB6evco6aHYEM,Exchange,OTC
AscendEX(BitMax),1zzvE6jAXn9QYtv579bh88g88ehe3FA5LBfCJDNhfWYbmJf,Exchange,Mandatory KYC and AML
Okx.com,1zzuuiDNygVzstDg51MKfiTy2PN8CkxvPXydNrcjK2FeHRv,Exchange,Mandatory KYC and AML
Gate.io,1zzsmr41B1HFuCLC5Hb4jBM8wzaPeqGEUQrV9NHVNCJ9i1g,Exchange,Mandatory KYC and AML
Coinbase.com,1zzrfUG2NB2MqNq6rxmRHW1oGSQQ6s8FUhmi8BouzxHZpyq,Exchange,Mandatory KYC and AML
Kraken.com,1zzrJq5ob5XrkjkuJPx4yHzZro49Edq3y5DomB2xnr5txY6,Exchange,Mandatory KYC and AML
Coinbase.com,1zzr3ajBiSCDNDhZijU54hKckJ9VyD1tx3xmRq3aixZz3wc,Exchange,Mandatory KYC and AML
Kucoin.com,1zzqa1RpBXJFhphtvNpL9GZP4Q5jycdP9VD7JAQKMWhV7cM,Exchange,Mandatory KYC and AML
Coinbase.com,1zzpvyhVVi6R4e91aAwKSSgjvwVS8gmxAmtzJCXohckZ913,Exchange,Mandatory KYC and AML
ChangeNow.io,1zzpmgeFupMP14Xj1kQDUPft5xYAijQg3U3QCQzrCbThHkb,Exchange,OTC
Kraken.com,1zzpJGvaMgT5hBJeSiEYecngHVET9c8ugcb2SwKxkcGMcWr,Exchange,Mandatory KYC and AML
Kraken.com,1zzo6652fsTrHDfqW5k4u5pRQ1p6nhkwU33TWkc2xXUMcKn,Exchange,Mandatory KYC and AML
Coinbase.com,1zznhdheCdt7Qthp2PCBvshcVSvGqZNLAN3DGLxCbwbkKe2,Exchange,Mandatory KYC and AML
Kucoin.com,1zzmH1VY3PJL3feJZ9z4PnwUE7qkPjxaobDiESi76w17pTW,Exchange,Mandatory KYC and AML
Kraken.com,1zziqCHSwtTcpfKEEtSMKfCtTqp1RKtPVcXezx3hAAHybty,Exchange,Mandatory KYC and AML
Okx.com,1zziQysNYHa61WhTPMWVjaZaAVguz8372cJzGTfKBp5cTU5,Exchange,Mandatory KYC and AML
